arquivo,box,digito
chars1sl_48.jpg,"(123, 445, 26, 15)",-1
chars1sl_49.jpg,"(124, 61, 19, 36)",-1
chars1sl_50.jpg,"(125, 596, 49, 40)",7
chars1sl_51.jpg,"(131, 704, 90, 51)",8
chars1sl_52.jpg,"(134, 311, 48, 36)",7
chars1sl_53.jpg,"(137, 190, 10, 35)",-1
chars1sl_54.jpg,"(138, 660, 6, 18)",-1
chars1sl_55.jpg,"(138, 369, 5, 22)",-1
chars1sl_56.jpg,"(142, 575, 86, 70)",7
chars1sl_57.jpg,"(146, 659, 18, 20)",-1
chars1sl_58.jpg,"(146, 369, 17, 21)",-1
chars1sl_59.jpg,"(155, 193, 25, 32)",1
chars1sl_60.jpg,"(155, 66, 19, 32)",4
chars1sl_61.jpg,"(159, 690, 114, 65)",1
chars1sl_62.jpg,"(218, 461, 8, 65)",-1
chars1sl_63.jpg,"(234, 144, 28, 22)",-1
chars1sl_64.jpg,"(245, 705, 22, 44)",1
chars1sl_65.jpg,"(253, 125, 16, 41)",1
chars1sl_66.jpg,"(257, 44, 46, 57)",2
chars1sl_67.jpg,"(258, 426, 26, 31)",5
chars1sl_68.jpg,"(273, 715, 24, 33)",5
chars1sl_69.jpg,"(273, 130, 26, 35)",5
chars1sl_70.jpg,"(292, 740, 52, 15)",-1
chars1sl_71.jpg,"(303, 709, 25, 38)",1
chars1sl_72.jpg,"(304, 419, 12, 33)",1
chars1sl_73.jpg,"(306, 128, 24, 36)",1
chars1sl_74.jpg,"(318, 724, 7, 16)",-1
chars1sl_75.jpg,"(319, 419, 29, 45)",8
chars1sl_76.jpg,"(325, 423, 17, 19)",-1
chars1sl_77.jpg,"(330, 710, 32, 28)",-1
chars1sl_78.jpg,"(338, 133, 37, 37)",8
chars1sl_79.jpg,"(342, 689, 122, 66)",-1
chars1sl_80.jpg,"(351, 19, 30, 38)",-1
chars1sl_81.jpg,"(359, 418, 34, 33)",2
chars1sl_82.jpg,"(359, 73, 8, 40)",-1
chars1sl_83.jpg,"(365, 83, 10, 21)",-1
chars1sl_84.jpg,"(368, 715, 50, 34)",2
chars1sl_85.jpg,"(377, 130, 38, 39)",2
chars1sl_86.jpg,"(385, 29, 14, 26)",1
chars1sl_87.jpg,"(390, 82, 21, 30)",5
chars1sl_88.jpg,"(396, 420, 31, 41)",3
chars1sl_89.jpg,"(407, 724, 25, 20)",-1
chars1sl_90.jpg,"(418, 146, 32, 21)",-1
chars1sl_91.jpg,"(454, 401, 58, 68)",-1
chars1sl_92.jpg,"(485, 428, 31, 18)",-1
chars1sl_93.jpg,"(486, 37, 48, 61)",3
chars1sl_94.jpg,"(495, 413, 25, 25)",-1
chars1sl_95.jpg,"(507, 709, 35, 42)",5
chars1sl_96.jpg,"(508, 132, 34, 32)",5
chars1sl_97.jpg,"(524, 414, 29, 38)",7
chars1sl_98.jpg,"(530, 737, 59, 18)",-1
chars1sl_99.jpg,"(554, 415, 5, 15)",-1
chars1sl_100.jpg,"(555, 133, 37, 21)",-1
chars1sl_101.jpg,"(557, 421, 21, 16)",-1
chars1sl_102.jpg,"(565, 20, 22, 31)",-1
chars1sl_103.jpg,"(567, 72, 22, 38)",-1
chars1sl_104.jpg,"(570, 150, 32, 16)",-1
chars1sl_105.jpg,"(578, 414, 34, 54)",9
chars1sl_106.jpg,"(588, 713, 47, 23)",-1
chars1sl_107.jpg,"(597, 81, 18, 25)",4
chars1sl_108.jpg,"(597, 25, 8, 19)",1
chars1sl_109.jpg,"(601, 437, 5, 23)",-1
chars1sl_110.jpg,"(604, 132, 33, 22)",-1
chars1sl_111.jpg,"(629, 49, 42, 38)",-1
chars1sl_112.jpg,"(632, 714, 8, 34)",-1
chars1sl_113.jpg,"(633, 134, 9, 38)",-1
chars1sl_114.jpg,"(678, 638, 18, 117)",-1
chars1sl_115.jpg,"(705, 650, 6, 30)",-1
chars1sl_116.jpg,"(705, 361, 5, 31)",-1
chars1sl_117.jpg,"(722, 362, 12, 20)",-1
chars1sl_118.jpg,"(723, 362, 23, 28)",-1
chars1sl_119.jpg,"(724, 650, 23, 28)",-1
chars1sl_120.jpg,"(729, 708, 39, 34)",5
chars1sl_121.jpg,"(733, 419, 34, 32)",5
chars1sl_122.jpg,"(733, 121, 39, 37)",5
chars1sl_123.jpg,"(735, 33, 39, 67)",4
chars1sl_124.jpg,"(746, 362, 24, 27)",-1
chars1sl_125.jpg,"(747, 650, 25, 28)",-1
chars1sl_126.jpg,"(773, 650, 18, 28)",2
chars1sl_127.jpg,"(773, 361, 18, 29)",2
chars1sl_128.jpg,"(784, 413, 37, 34)",7
chars1sl_129.jpg,"(788, 124, 41, 23)",7
chars1sl_130.jpg,"(795, 711, 18, 31)",7
chars1sl_131.jpg,"(803, 649, 7, 31)",-1
chars1sl_132.jpg,"(803, 361, 7, 30)",-1
chars1sl_133.jpg,"(813, 656, 19, 22)",-1
chars1sl_134.jpg,"(813, 367, 18, 23)",-1
chars1sl_135.jpg,"(814, 706, 5, 20)",-1
chars1sl_136.jpg,"(816, 21, 69, 51)",-1
chars1sl_137.jpg,"(825, 411, 36, 47)",9
chars1sl_138.jpg,"(826, 703, 46, 38)",9
chars1sl_139.jpg,"(829, 36, 7, 15)",-1
chars1sl_140.jpg,"(830, 120, 38, 37)",9
chars1sl_141.jpg,"(835, 368, 6, 21)",-1
chars1sl_142.jpg,"(836, 656, 5, 21)",-1
chars1sl_143.jpg,"(844, 367, 16, 22)",-1
chars1sl_144.jpg,"(845, 656, 15, 21)",-1
chars1sl_145.jpg,"(862, 368, 6, 21)",-1
chars1sl_146.jpg,"(863, 649, 5, 29)",-1
chars1sl_147.jpg,"(871, 367, 19, 22)",-1
chars1sl_148.jpg,"(872, 655, 19, 23)",-1
chars1sl_149.jpg,"(908, 399, 27, 67)",-1
chars1sl_150.jpg,"(925, 686, 11, 68)",-1
chars1sl_151.jpg,"(960, 141, 49, 21)",-1
chars1sl_152.jpg,"(970, 66, 43, 33)",-1
chars1sl_153.jpg,"(971, 705, 41, 38)",5
chars1sl_154.jpg,"(973, 413, 40, 42)",5
chars1sl_155.jpg,"(977, 709, 31, 25)",5
chars1sl_156.jpg,"(977, 120, 21, 31)",5
chars1sl_157.jpg,"(985, 44, 34, 43)",5
chars1sl_158.jpg,"(1025, 123, 43, 42)",7
chars1sl_159.jpg,"(1034, 421, 29, 37)",7
chars1sl_160.jpg,"(1037, 707, 19, 31)",7
chars1sl_161.jpg,"(1049, 8, 31, 44)",-1
chars1sl_162.jpg,"(1068, 120, 26, 38)",1
chars1sl_163.jpg,"(1073, 703, 15, 26)",1
chars1sl_164.jpg,"(1073, 438, 23, 19)",-1
chars1sl_165.jpg,"(1082, 35, 24, 22)",3
chars1sl_166.jpg,"(1083, 419, 16, 36)",1
chars1sl_167.jpg,"(1087, 701, 6, 30)",1
chars1sl_168.jpg,"(1097, 124, 40, 40)",0
chars1sl_169.jpg,"(1101, 705, 36, 38)",0
chars1sl_170.jpg,"(1102, 425, 48, 34)",0
chars1sl_171.jpg,"(1102, 131, 16, 30)",-1
chars1sl_172.jpg,"(1114, 684, 68, 68)",-1
chars1sl_173.jpg,"(1138, 706, 5, 30)",-1
chars1sl_174.jpg,"(1161, 397, 75, 68)",-1
chars1sl_175.jpg,"(1184, 121, 26, 44)",1
chars1sl_176.jpg,"(1185, 684, 124, 54)",-1
chars1sl_177.jpg,"(1187, 415, 20, 36)",1
chars1sl_178.jpg,"(1191, 35, 45, 27)",9
chars1sl_179.jpg,"(1210, 706, 32, 35)",0
chars1sl_180.jpg,"(1211, 420, 25, 31)",0
chars1sl_181.jpg,"(1213, 135, 28, 26)",0
chars1sl_182.jpg,"(1228, 59, 6, 34)",-1
chars1sl_183.jpg,"(1233, 53, 5, 39)",-1
chars1sl_184.jpg,"(1239, 413, 23, 38)",1
chars1sl_185.jpg,"(1246, 700, 16, 40)",1
chars1sl_186.jpg,"(1247, 121, 19, 36)",1
chars1sl_187.jpg,"(1255, 6, 31, 21)",-1
chars1sl_188.jpg,"(1265, 708, 32, 34)",0
chars1sl_189.jpg,"(1266, 422, 31, 34)",0
chars1sl_190.jpg,"(1266, 131, 26, 28)",0
chars1sl_191.jpg,"(1266, 21, 27, 22)",-1
chars1sl_192.jpg,"(1291, 3, 30, 38)",0
chars1sl_193.jpg,"(1294, 126, 29, 37)",1
chars1sl_194.jpg,"(1309, 700, 14, 36)",1
chars1sl_195.jpg,"(1314, 417, 11, 29)",1
chars1sl_196.jpg,"(1317, 0, 40, 42)",-1
chars1sl_197.jpg,"(1327, 707, 42, 36)",0
chars1sl_198.jpg,"(1332, 127, 31, 37)",0
chars1sl_199.jpg,"(1334, 421, 36, 33)",0
